layer,contrast,metric,mean,ci_low,ci_high
15,WQ - WV,kl,-0.00040288252785103396,-0.00046731871966585457,-0.0003194083526523173
15,WK - WV,delta_nll,-0.004177451133728027,-0.005496772658079863,-0.002829611580818892
15,WK - WV,kl,-0.0003698428427014733,-0.00042075491228388273,-0.00031285265413316665
16,WQ - WK,delta_nll,0.0007075630128383636,-0.00016342289745807648,0.0016597338020801543
16,WQ - WK,kl,9.99583853626973e-05,7.787343527070334e-05,0.00012612720329343574
16,WQ - WV,delta_nll,0.0033666230738162994,0.002308060321956873,0.004461165145039557
16,WQ - WV,kl,-0.00023540146139566787,-0.00026362332941971546,-0.00020565254635585006
16,WK - WV,delta_nll,0.002659060060977936,0.001605702005326748,0.003714708890765905
16,WK - WV,kl,-0.00033535984675836517,-0.00036024209703100496,-0.0003103803613157652
17,WQ - WK,delta_nll,0.0011188052594661713,0.0003454307094216347,0.0018857935443520539
17,WQ - WK,kl,0.0002224690970251686,0.00019770380474710693,0.00024823735125210065
17,WQ - WV,delta_nll,0.0065156240016222,0.0056275583803653715,0.007447631703689694
17,WQ - WV,kl,-0.0002528100485506002,-0.00029441179462992296,-0.00021456702402247176
17,WK - WV,delta_nll,0.005396818742156029,0.004571610689163208,0.006282873684540389
17,WK - WV,kl,-0.0004752791455757688,-0.000518013656187577,-0.0004394280103952042
18,WQ - WK,delta_nll,-0.0006133075803518295,-0.001322897942736745,7.079839706420885e-05
18,WQ - WK,kl,0.00010123938591277692,7.135378637030953e-05,0.0001310364487380866
18,WQ - WV,delta_nll,-0.004802228882908821,-0.005757293291389942,-0.003936453443020582
18,WQ - WV,kl,-9.804993896977976e-05,-0.00012698258519776572,-7.10279301074479e-05
18,WK - WV,delta_nll,-0.004188921302556992,-0.005209961533546447,-0.0032024132087826733
18,WK - WV,kl,-0.00019928932488255668,-0.00022865491646371084,-0.0001707894405171828
19,WQ - WK,delta_nll,0.001704629510641098,0.0010100306943058967,0.002407961245626211
19,WQ - WK,kl,0.0001429684525646735,9.650654710640083e-05,0.00019324691593283202
19,WQ - WV,delta_nll,-0.007840016856789589,-0.008848297968506813,-0.006850831490010024
19,WQ - WV,kl,-0.0001992195630009519,-0.0002557893902576325,-0.00014108026316534962
19,WK - WV,delta_nll,-0.009544646367430687,-0.01056328029371798,-0.008575463062152266
19,WK - WV,kl,-0.0003421880155656254,-0.00037677733671444004,-0.00030886583808751314
20,WQ - WK,delta_nll,0.0020694155246019363,0.0013907877262681722,0.0026990083511918782
20,WQ - WK,kl,0.00012890822836197913,9.249469107999175e-05,0.0001684251599726849
20,WQ - WV,delta_nll,-0.0037292949855327606,-0.004665741883218289,-0.0028637884184718135
20,WQ - WV,kl,-0.00015319202066166326,-0.0001880423596503533,-0.0001167545893622446
20,WK - WV,delta_nll,-0.005798710510134697,-0.0065629294142127035,-0.005065816501155496
20,WK - WV,kl,-0.0002821002490236424,-0.0003218219773771125,-0.0002463123033976444
21,WQ - WK,delta_nll,0.0077399760484695435,0.006394869461655617,0.009041058737784624
21,WQ - WK,kl,2.3936025172588415e-05,-2.4786939638943296e-05,7.287884977813518e-05
21,WQ - WV,delta_nll,0.008560184389352798,0.006791053432971239,0.010336679872125385
21,WQ - WV,kl,-0.0004776352052431321,-0.0005789865031147201,-0.00039680485501776276
21,WK - WV,delta_nll,0.000820208340883255,-0.0007137340493500232,0.002361312136054038
21,WK - WV,kl,-0.0005015712304157205,-0.0006118737547694764,-0.00041710453097039136
22,WQ - WK,delta_nll,-0.0011926032602787018,-0.002178363315761089,-0.0001472328789532195
22,WQ - WK,kl,8.881191570253577e-05,4.347254143794998e-05,0.000131729946770065
22,WQ - WV,delta_nll,-0.01189742423593998,-0.013049204787239432,-0.01063393452204764
22,WQ - WV,kl,-0.000380419322027592,-0.0004183859259228484,-0.0003420526435093052
22,WK - WV,delta_nll,-0.010704820975661278,-0.011884932266548276,-0.009561661724001169
22,WK - WV,kl,-0.00046923123773012776,-0.0005191876392018457,-0.00041712870802257385
23,WQ - WK,delta_nll,-0.0014138463884592056,-0.0020204449072480203,-0.0007687789388000984
23,WQ - WK,kl,-0.00013105262314638821,-0.00016737834134801234,-9.848485465226991e-05
23,WQ - WV,delta_nll,0.0022109504789114,0.0015710266306996346,0.00284386808052659
23,WQ - WV,kl,-0.0007952515506985947,-0.0008480461519184245,-0.0007449653498269982
23,WK - WV,delta_nll,0.0036247968673706055,0.00276905857026577,0.004477969370782375
23,WK - WV,kl,-0.0006641989275522064,-0.0007205954563232808,-0.0006094227331232106
24,WQ - WK,delta_nll,0.0031605958938598633,0.0025472182780504225,0.0037657894194126126
24,WQ - WK,kl,0.00013886815213481896,0.00010175011943829304,0.00017793077022361102
24,WQ - WV,delta_nll,0.00556977279484272,0.004639410926029086,0.00653441329486668
24,WQ - WV,kl,-0.0006265941647143336,-0.0006862058854039787,-0.0005661262703142711
24,WK - WV,delta_nll,0.0024091769009828568,0.0015828378032892942,0.0032468418590724463
24,WK - WV,kl,-0.0007654623168491526,-0.0008371267242182512,-0.0006960761185382581
25,WQ - WK,delta_nll,-0.0015849582850933075,-0.0020541922189295293,-0.0010979127138853082
25,WQ - WK,kl,-6.467190814873902e-05,-8.867105580065982e-05,-4.1254236930399205e-05
25,WQ - WV,delta_nll,-0.0005207844078540802,-0.0010337702929973601,8.584558963775627e-06
25,WQ - WV,kl,-2.9085830647090916e-05,-5.681874627043726e-05,1.5227300082187247e-06
25,WK - WV,delta_nll,0.0010641738772392273,0.000546402670443058,0.001586608402431011
25,WK - WV,kl,3.5586077501648106e-05,8.583152225583036e-06,6.16867122516851e-05
26,WQ - WK,delta_nll,-0.00040454789996147156,-0.0008959936909377575,8.763968944549488e-05
26,WQ - WK,kl,-5.992372189211892e-05,-7.788665163843689e-05,-4.353782665020848e-05
26,WQ - WV,delta_nll,0.00045289285480976105,2.382672391831875e-05,0.0008835875429213046
26,WQ - WV,kl,-0.00025825653847277863,-0.0003027995291404295,-0.00022110687298209088
26,WK - WV,delta_nll,0.0008574407547712326,0.00035613714717328546,0.001342268474400043
26,WK - WV,kl,-0.0001983328165806597,-0.00023092305743830366,-0.00016797568605397836
27,WQ - WK,delta_nll,0.00018138624727725983,-0.00027279085479676725,0.0006357028614729639
27,WQ - WK,kl,-2.451814816595288e-05,-4.7478995793426296e-05,-5.211909683566819e-06
27,WQ - WV,delta_nll,0.0027407705783843994,0.0021297816187143327,0.003352842945605516
27,WQ - WV,kl,-9.794583638722543e-05,-0.00011311475218462874,-8.221489376865067e-05
27,WK - WV,delta_nll,0.0025593843311071396,0.0019220180809497833,0.003231683326885104
27,WK - WV,kl,-7.342768822127255e-05,-9.753581898621632e-05,-4.528392489646652e-05
28,WQ - WK,delta_nll,0.0006309002637863159,6.365654990077018e-05,0.0011992621235549443
28,WQ - WK,kl,-0.00047511366665276,-0.0005236004415110074,-0.0004264350154471687
28,WQ - WV,delta_nll,-0.007507713511586189,-0.008202090673148633,-0.006840956117957831
28,WQ - WV,kl,-0.00011645712675090181,-0.00013135131357557838,-0.00010139135310964778
28,WK - WV,delta_nll,-0.008138613775372505,-0.008888364583253861,-0.007384236250072718
28,WK - WV,kl,0.0003586565399018582,0.00031253957761236963,0.00040410693870853717
29,WQ - WK,delta_nll,-4.276260733604431e-05,-0.0004969497211277484,0.00046268608421087224
29,WQ - WK,kl,-8.731823982088827e-05,-0.00011355759154412226,-6.451103231484013e-05
29,WQ - WV,delta_nll,0.0021476242691278458,0.0017042647115886212,0.002585403388366103
29,WQ - WV,kl,-0.0001114203287215787,-0.0001338706571914372,-9.06836627791563e-05
29,WK - WV,delta_nll,0.00219038687646389,0.0017498054075986147,0.002618870511651039
29,WK - WV,kl,-2.4102088900690433e-05,-5.235841106241423e-05,5.016455475015373e-06
30,WQ - WK,delta_nll,-0.0013125091791152954,-0.001788534689694643,-0.0008386910893023015
30,WQ - WK,kl,-0.00020003584631922422,-0.00022335124861001533,-0.00017750296733538566
30,WQ - WV,delta_nll,-0.007197549566626549,-0.007835949072614312,-0.006536848936229945
30,WQ - WV,kl,-0.0002160065032512648,-0.00023724191112250992,-0.00019338252125180588
30,WK - WV,delta_nll,-0.005885040387511253,-0.006567342951893806,-0.005145098129287363
30,WK - WV,kl,-1.5970656932040583e-05,-3.947341563161899e-05,9.043395289154431e-06
31,WQ - WK,delta_nll,0.0038533397018909454,0.0032708266749978065,0.004435656126588582
31,WQ - WK,kl,-0.0006455685788750998,-0.0007195885845703743,-0.0005786641903114287
31,WQ - WV,delta_nll,0.0013656020164489746,0.0008806629106402397,0.0018521074205636976
31,WQ - WV,kl,3.555599869287107e-05,5.9146930425413306e-06,6.780854396311042e-05
31,WK - WV,delta_nll,-0.002487737685441971,-0.003023888636380434,-0.0019593824632465843
31,WK - WV,kl,0.0006811245775679708,0.0006086195515763393,0.0007603306679584421
32,WQ - WK,delta_nll,-0.016925916075706482,-0.019329989235848187,-0.014922809135168793
32,WQ - WK,kl,-0.0004135373110329965,-0.00045769472710617266,-0.00037294984840627874
32,WQ - WV,delta_nll,0.0012337546795606613,0.0004167212173342705,0.002026771754026412
32,WQ - WV,kl,-3.774147535295924e-05,-5.239197889750358e-05,-2.1914811281931185e-05
32,WK - WV,delta_nll,0.018159670755267143,0.016144622722640632,0.02038109288550913
32,WK - WV,kl,0.00037579583568003727,0.00033524306825256646,0.00042318900982536435
