condition,projection,bits,context,sample_id,block_index,n_tokens,input_sha256,labels_sha256,nll,delta_nll,kl
BF16,none,16,512,45,67,512,8dfa6ea1f5b51ac3a7421963acad90a2412786c75f0ce258b8fe5cb751fb0ad4,1d3c37901ea0c9f85af4c5918b812300ff2a9b77e4af07c1613a44b2b97afd1b,2.8159303665161133,0.0,0.0
BF16,none,16,512,46,52,512,a9975feaf08183a6c92b6780eaa11bfa8b4e009f8719664e0cf61daadee29ca6,67bee3d7b80f8eb2551e7a5b836e4cb00e1d024a9858e758e922b2c4c0454242,2.9346652030944824,0.0,0.0
BF16,none,16,512,47,123,512,f2f8c6f9fd0d5737ecef01872a27479d40c0128542bcdc2f650aacfa0871228d,1a41da669635ddfdd017a46cc49fb42e02dcdcc79f94f8db4e769b1a8e9dd28d,2.447678327560425,0.0,0.0
BF16,none,16,512,48,10,512,1110fb9e38dfc961e91bbca80cdbcb7aec9255667d4be62b7d64ad2008086430,5ca63fbb2f66470d41065f1cb002e9a06d16b6336ec72af2dd76c4b09b39c6cb,2.91707181930542,0.0,0.0
BF16,none,16,512,49,59,512,2ffb864d7680fe2f03e9c96a8ca13a1dcd9201d972b58055cdf1c54c016b3869,2a9d55bf974b6c85a74990d4db11f6f84941cdbd5670a5a770cf2dab7d82615f,2.670104742050171,0.0,0.0
BF16,none,16,512,50,90,512,565645b7de1588ccca175836fbe0a3445769209c98d06526c129fb453a20df82,ad1fd58631acbdc8259bf9f683638e317ea451b3ad19c0dacc669cb05c5aaede,2.877713918685913,0.0,0.0
BF16,none,16,512,51,12,512,47020c49aa9953b482fafbade3c350c281f1d37768dfd620ed4ed22215dffc21,a8a469a68d7b569db199606d9811dbb31b560edf39ff7ac7743bfa1dd2422dae,2.694467544555664,0.0,0.0
BF16,none,16,512,52,6,512,f6f428baca66fc8aa223e265fe167e8f3e66b33ee52ee27c5cfacd6988b6cffb,8fda12a3276f553c32781879a2907020a1b95b120a4008c5d047ee9404635781,2.2049832344055176,0.0,0.0
BF16,none,16,512,53,98,512,612685c9a843162b260eb1a39ea04835df7f4205fda89d2ee9029057956c4a2c,577b2892864b4039ebacae0fd392d9f9265698e6e2c31b00c3020887b5487ac1,3.0826780796051025,0.0,0.0
BF16,none,16,512,54,62,512,407e23a40d3b79a8ef1ed65739952a2967c01fb71f5ae80eca89f950966070c5,c87c89b138f647b50ea3517602b97c2017b3e81b8eb3f64e4fe71550705510ec,3.2736263275146484,0.0,0.0
BF16,none,16,512,55,106,512,476847f11f8a83faeb4e3bb899f53f96dc04ee45ec360473b86b6fef85c520ec,c2e2d40d2e76ab39489312b4815e565bf71bded2423c32063665c90306b8b484,2.6510424613952637,0.0,0.0
BF16,none,16,512,56,48,512,683524ce59e2c3b9a90e4b6f80a2dc506837423066ee0069e0e9bd3a031cfcd3,c83d0c1969861d1c14c26919385156d653da6b82fe574ec002a483eb773a1a37,2.6203360557556152,0.0,0.0
BF16,none,16,512,57,57,512,d188307729885676d91094312beea8f9c6bdfe7b46d34ce19d3176b30f8d6721,8c56774c0912494f5718c16f24cadd18817d67ca61765ac7717e2f381efc69b1,2.5125246047973633,0.0,0.0
BF16,none,16,512,58,89,512,7d37ebde45fe5a1327f7415b722a2152ba19239541b5b86171ad09110b88126b,583d6f94ff03af842635d512bee8f43a5e4536c5cd7db354fc202265110672f9,3.425480365753174,0.0,0.0
BF16,none,16,512,59,85,512,f787ea5a78872e8cac0aacadf2135dc6f7970768214b8a724acb5141af243601,65bb6d6a06285ce23477dcd5ab9e9eb0cbc60019a59f3b7448f7618685b1fdd0,2.7718734741210938,0.0,0.0
BF16,none,16,512,60,103,512,d68e8446d1f26fb4d13d7a806b96bea17f0630142bad0e74001b06c29ca2bd92,c2b4715ef6abbb41a35e1350e447684bb0d0dbd57d2fb9d9a3e6b9b7240d0a98,2.9015614986419678,0.0,0.0
BF16,none,16,512,61,75,512,ca5268e69cb922f0dc43cf2131274a5f43fb65f8bcbbac618b4a43e9b99b0a85,2e8b2d3f0426eba924b4a98379eb92d2e64dc03bc9ecf594495fb9bef1510012,2.564058303833008,0.0,0.0
BF16,none,16,512,62,51,512,5b3a8d8d253edbd82b4e45c124e433b1f329522e7a41a910b62fc2e161722a08,eadf4728fbc642b26417a5d55a5b564a5ac77fb435a5a9b5e3b6c4c4c620f114,3.231381893157959,0.0,0.0
BF16,none,16,512,63,43,512,02aee5e343d97256d44fe0eb9c3f77668c53371f95c184e97dd53a610d530752,a10032c97181f82d2cdc3b9207991e6fae9b82c6ed45b476bbe0ea5cf36aab8e,3.776966094970703,0.0,0.0
BF16,none,16,2048,0,68,2048,7fa3218d5c0877a221d93c331014b13f9b0269f66ee885045391d7f6925bc18b,8ef5a58d30706108e4424bc7fd5ead54afe73dcf5205e88fd588fe5e14ce67ba,2.4777376651763916,0.0,0.0
BF16,none,16,2048,1,100,2048,727c409a44db036aaf99d9825120b8c5475979820ff1880281ca6700d93e997c,790974994d1df4ee2511c0a11d2a4b63b3f94cbc857670ebc32bd86a120c13c3,2.4532456398010254,0.0,0.0
BF16,none,16,2048,2,76,2048,de5839302a1f8be2c62c604f2a574a4e959bf6b8903e83a6528c3e8615c4c71b,c10726a949d67a001e8537b229d682cb6f430e75a3868ab2eae32d9da26409f9,2.5171608924865723,0.0,0.0
BF16,none,16,2048,3,140,2048,5b5fbf9ed2f90d3b56310892d916c60c1590342ea5efacb9055505dca880067b,d5207eb0c712b5e67966701a30db2e91852ae6e21ce9c45201858637c2f46300,3.066969871520996,0.0,0.0
BF16,none,16,2048,4,44,2048,e83fe1126ef11362ca2c510be3b9d801a80d2ba95739f3b5bfdc1c5bdc635f58,d74147700327ce101764c03fed40a4e9745f79d073ec2b8c2585e025a259eb33,3.1258513927459717,0.0,0.0
BF16,none,16,2048,5,20,2048,7297e92a528f854e162bf26846df4827597b3fef35dc0f8f0d160c27e12b82c3,3692af9e0a10e0563d9321971b56df001f57667c95cf35add673d55ed7e23fa7,2.512648105621338,0.0,0.0
BF16,none,16,2048,6,63,2048,8d664704323e367f28e3fd14b1876e6e79b849e0a92a52cb7ab13e1f007648bd,010e9d87cbe94cd96a9c80e5a3acdb481237f902e2804ea887c5699d00f93f28,3.252600908279419,0.0,0.0
BF16,none,16,2048,7,37,2048,43eb711a5f90c2da86caadb1f57a6d78e33dd772ea669a188885cf29a856c8a9,e94543186b5037fa285edb016058de7c6a1c24f0ec5d2694716bbc221f735ca8,2.0508577823638916,0.0,0.0
BF16,none,16,2048,8,142,2048,60f0636d47d2144bac213771617e6d26b641c621ca5598aa6f94d92f168e4440,961aeef219281deb3487d874ef56d4a1feeb09133cbb127c516026756b7d403d,2.810516834259033,0.0,0.0
BF16,none,16,2048,9,54,2048,f2d06d6fadbb94a6b9673c03f34c5702bc62868f6af9464c5fafaf71bb3a7452,f825257be6a05712af7879420152d60daed2ff0ae2a63a9fc03ed9511493c1f2,2.216740369796753,0.0,0.0
BF16,none,16,2048,10,64,2048,309614f012e5fce8093ce5bd71979c6769344662aea1ad23a758d80708177086,5a689a9bb73117e9c73743ba89fbb373d253f702ca903217581c61da3020d81a,2.4041380882263184,0.0,0.0
BF16,none,16,2048,11,82,2048,86b2e0be9829fa6afb50279461e5110faf95d29913a0b230fb6cf8d31281b03a,6e77798e36b094b40ae44b70ba876c18c99fcacb76db84d01723e016f28d9933,2.1593775749206543,0.0,0.0
BF16,none,16,2048,12,125,2048,0316e0ba92bc822a1de2775956f65f0c449bd8c94ec709d81a23aad83fd15618,214473bd123f552092a6e64a2a3621184d456c2f0d32d3655533ba4c0f6adfda,2.800941228866577,0.0,0.0
BF16,none,16,2048,13,25,2048,fb26dda67f40a157e5ce636f903062716d27e87ec6b75b77ae16773d4868ab89,b8c27a347ba7cd7ec1011c72802452816fdd20b467d1acf46668b8b7a5a2289e,2.7655189037323,0.0,0.0
BF16,none,16,2048,14,87,2048,d26d8831d4c6979689eccc963c941dacc2bb0f37fcc3467d1cef84078b6e23b3,0e26ddd8753ff529d3768c603e1b0a8ad9517c33a7e2bc26e322019bc3e7508b,2.5108301639556885,0.0,0.0
